,pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
260,2016,1,1,5,4,3,6,5.73,708,17.50,0.80,0.00,0.00,18.30,2
261,2016,1,1,5,4,3,6,4.36,767,14.50,0.80,0.00,3.06,18.36,1
262,2016,1,1,5,4,4,3,8.21,852,23.50,0.80,5.54,5.97,35.81,1
263,2016,1,1,5,4,4,2,19.52,1719,52.00,0.80,5.54,0.00,58.34,2
264,2016,1,1,5,4,3,0,12.70,1213,35.50,0.80,5.54,8.36,50.20,1
265,2016,1,1,5,4,3,1,10.17,1271,30.00,0.80,0.00,0.00,30.80,2
266,2016,1,1,5,4,2,4,20.86,2530,52.00,0.80,5.54,5.00,63.34,1
267,2016,1,1,5,4,3,1,8.57,1422,26.50,0.80,0.00,5.46,32.76,1
268,2016,1,1,5,4,3,4,13.65,1401,37.50,0.80,5.54,0.00,43.84,2
269,2016,1,1,5,4,2,4,20.75,2196,52.00,0.80,5.54,10.00,68.34,1
270,2016,1,1,5,4,4,2,16.60,1459,52.00,0.80,5.54,11.65,69.99,1
271,2016,1,1,5,4,3,4,7.18,943,22.00,0.80,5.54,0.00,28.34,2
272,2016,1,1,5,4,3,4,9.90,1479,30.50,1.30,5.54,0.00,37.34,2
273,2016,1,1,5,4,3,4,9.76,1002,27.50,0.80,5.54,6.77,40.61,1
274,2016,1,1,5,4,2,4,16.90,1439,52.00,0.80,5.54,11.65,69.99,1
275,2016,1,1,5,4,2,6,15.90,2370,44.50,1.80,0.00,0.00,46.30,2
276,2016,1,1,5,5,2,4,19.47,1842,52.00,0.80,5.54,0.00,58.34,2
277,2016,1,1,5,5,2,4,20.03,2039,52.00,0.80,0.00,10.56,63.36,1
278,2016,1,1,5,5,2,4,16.04,1397,52.00,0.80,5.54,17.50,75.84,1
279,2016,1,1,5,5,2,4,18.10,1849,52.00,0.80,11.08,6.00,69.88,1
280,2016,1,1,5,5,3,4,9.07,1237,27.00,1.30,5.54,6.77,40.61,1
281,2016,1,1,5,5,2,4,18.02,2439,52.00,0.80,0.00,9.00,61.80,1
282,2016,1,1,5,5,2,4,19.88,1830,52.00,0.80,5.54,11.67,70.01,1
283,2016,1,1,5,5,2,4,17.80,1634,52.00,0.80,5.54,14.58,72.92,1
284,2016,1,1,5,5,2,4,18.05,2286,52.00,0.80,0.00,0.00,52.80,2
285,2016,1,1,5,5,3,1,6.79,857,20.50,1.30,0.00,0.00,21.80,2
